Date,Deaths,Covid Cases,State 
9/9/2020,26,973,Ohio
9/9/2020,0,0,Delaware
9/9/2020,9,876,Oklahoma
9/9/2020,4,25,Washington DC
9/9/2020,8,116,Oregon
9/9/2020,0,89,Connecticut
9/9/2020,14,931,Pennsylvania
9/9/2020,2,187,Colorado
9/9/2020,83,1616,California
9/9/2020,3,84,Rhode Island
9/9/2020,30,496,Arizona
9/9/2020,30,305,South Carolina
9/9/2020,0,168,South Dakota
9/9/2020,11,498,Arkansas
9/9/2020,35,833,Tennessee
9/9/2020,8,811,Alabama
9/9/2020,139,4000,Texas
9/9/2020,0,66,Alaska
9/9/2020,3,314,Utah
9/9/2020,25,774,Washington
9/9/2020,11,882,Virginia
9/9/2020,4,147,West Virginia
9/9/2020,0,2,Vermont
9/9/2020,76,961,Michigan
9/9/2020,0,48,Wyoming
9/8/2020,0,71,Wyoming
9/8/2020,0,249,Mississippi
9/8/2020,2,773,Missouri
9/8/2020,1,65,Montana
9/8/2020,1,499,Michigan
9/8/2020,0,12,Maine
9/8/2020,3,356,Maryland
9/8/2020,8,171,Massachusetts
9/8/2020,13,256,Louisiana
9/8/2020,12,716,North Carolina
9/8/2020,1,255,Kentucky
9/8/2020,4,75,North Dakota
9/8/2020,0,0,Kansas
9/8/2020,0,89,Nebraska
9/8/2020,12,386,Indiana
9/8/2020,0,18,New Hampshire
9/8/2020,7,1392,Illinois
9/8/2020,5,277,New Jersey
9/8/2020,0,74,Idaho
9/8/2020,4,37,New Mexico
9/8/2020,12,455,Iowa
9/8/2020,0,137,Nevada
9/8/2020,1,104,Hawaii
9/8/2020,6,557,New York
9/8/2020,22,656,Ohio
9/8/2020,26,1543,Georgia
9/8/2020,1,833,Oklahoma
9/8/2020,44,1823,Florida
9/8/2020,4,165,Oregon
9/8/2020,0,59,Delaware
9/8/2020,11,496,Pennsylvania
9/8/2020,0,47,Washington DC
9/8/2020,6,417,Connecticut
9/8/2020,0,20,Rhode Island
9/8/2020,0,213,Colorado
9/8/2020,5,301,South Carolina
9/8/2020,32,2676,California
9/8/2020,0,103,South Dakota
9/8/2020,2,81,Arizona
9/8/2020,27,645,Tennessee
9/8/2020,61,1421,Texas
9/8/2020,9,477,Arkansas
9/8/2020,1,326,Utah
